Date,Adj Close_SAN.MC,Close_SAN.MC,Dividends_SAN.MC,High_SAN.MC,Low_SAN.MC,Open_SAN.MC,Stock Splits_SAN.MC,Volume_SAN.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-01-01,1.6941550970077515,5.660376071929932,0.0,5.660376071929932,5.660376071929932,5.660376071929932,0.0,0,1.24,182.6,14614.141,5.8,1.0485,5812.1,67.0552199130888,4.05,8.9,80.14,11.7,28.6200008392334
2003-01-02,1.782231330871582,5.954647064208984,0.0,5.954647064208984,5.660376071929932,5.954647064208984,0.0,26649567,1.24,182.6,14614.141,5.8,1.0361,5812.1,67.0552199130888,4.05,8.65,80.14,11.7,25.389999389648438
2003-01-03,1.7304223775863647,5.781546115875244,0.0,6.006577014923096,5.781546115875244,5.781546115875244,0.0,51172353,1.24,182.6,14614.141,5.8,1.0418,5812.1,67.0552199130888,4.05,8.57,80.14,11.7,24.68000030517578
2003-01-06,1.7304223775863647,5.781546115875244,0.0,5.781546115875244,5.781546115875244,5.781546115875244,0.0,0,1.24,182.6,14614.141,5.8,1.0469,5812.1,67.0552199130888,4.05,8.41,80.14,11.7,24.90999984741211
2003-01-07,1.7692791223526,5.911372184753418,0.0,6.049851894378662,5.885406017303467,5.911372184753418,0.0,42067772,1.24,182.6,14614.141,5.8,1.0419,5812.1,67.0552199130888,4.05,8.26,80.14,11.7,25.1299991607666
2003-01-08,1.7900022268295288,5.980611801147461,0.0,6.084472179412842,5.850786209106445,5.980611801147461,0.0,44883607,1.24,182.6,14614.141,5.8,1.0447,5812.1,67.0552199130888,4.05,8.18,80.14,11.7,25.530000686645508
2003-01-09,1.7874116897583008,5.971957206726074,0.0,6.006577014923096,5.781546115875244,5.971957206726074,0.0,33156462,1.24,182.6,14614.141,5.8,1.0467,5812.1,67.0552199130888,4.05,7.95,80.14,11.7,24.25
2003-01-10,1.7977734804153442,6.006577014923096,0.0,6.101781845092773,5.894061088562012,6.006577014923096,0.0,33171812,1.24,182.6,14614.141,5.8,1.0535,5812.1,67.0552199130888,4.05,7.92,80.14,11.7,24.31999969482422
2003-01-13,1.8262690305709839,6.101781845092773,0.0,6.171021938323975,6.049851894378662,6.101781845092773,0.0,123218747,1.24,182.6,14614.141,5.8,1.0535,5812.1,67.0552199130888,4.05,7.92,80.14,11.7,24.899999618530273
2003-01-14,1.8392210006713867,6.145057201385498,0.0,6.145057201385498,6.0238871574401855,6.145057201385498,0.0,128303533,1.24,182.6,14614.141,5.8,1.0571,5812.1,67.0552199130888,4.05,7.96,80.14,11.7,24.56999969482422
2003-01-15,1.8314496278762817,6.119091987609863,0.0,6.214296817779541,6.049851894378662,6.119091987609863,0.0,27176436,1.24,182.6,14614.141,5.8,1.0576,5812.1,67.0552199130888,4.05,7.96,80.14,11.7,25.510000228881836
2003-01-16,1.8340399265289307,6.127747058868408,0.0,6.127747058868408,5.997921943664551,6.127747058868408,0.0,30990338,1.24,182.6,14614.141,5.8,1.0569,5812.1,67.0552199130888,4.05,7.99,80.14,11.7,25.010000228881836
2003-01-17,1.748555302619934,5.8421311378479,0.0,6.067162036895752,5.816165924072266,5.8421311378479,0.0,33824558,1.24,182.6,14614.141,5.8,1.066,5812.1,67.0552199130888,4.05,8.1,80.14,11.7,25.700000762939453
2003-01-20,1.7304223775863647,5.781546115875244,0.0,5.894061088562012,5.764235973358154,5.781546115875244,0.0,43618286,1.24,182.6,14614.141,5.8,1.066,5812.1,67.0552199130888,4.05,8.11,80.14,11.7,25.700000762939453
2003-01-21,1.6967462301254272,5.669031143188477,0.0,5.920026779174805,5.643065929412842,5.669031143188477,0.0,137027479,1.24,182.6,14614.141,5.8,1.0677,5812.1,67.0552199130888,4.05,8.12,80.14,11.7,27.59000015258789
